ESTADOS;IND_MEJOR_ACCION
21301;1
21300;1
21421;1
02901;1
21420;2
21541;1
20331;1
21540;1
20330;1
22630;1
01811;2
22510;2
22631;0
00601;2
02900;0
01810;2
01931;1
22511;1
00600;0
00721;1
01930;0
00720;2
00841;1
00840;2
21311;1
01801;2
21310;1
21431;1
21430;2
20341;1
20340;1
22640;2
22520;2
22641;2
01800;2
01921;0
22521;1
22400;1
00711;0
01920;0
22401;1
00710;0
00831;2
00830;0
10301;1
10300;1
21401;1
21400;1
21521;1
20311;2
21520;2
21641;0
20310;1
20431;1
21640;1
20430;0
00740;0
02801;0
22730;1
01711;2
22610;1
22731;1
02800;2
02921;1
00501;0
01831;1
01710;2
22611;1
00621;1
02920;1
00500;0
01830;1
00620;1
00741;2
21411;1
21410;2
21531;1
20321;1
21530;1
20320;1
20441;1
20440;1
22740;1
01701;1
22741;2
22620;0
02911;1
01700;1
01821;1
22500;1
22621;0
00611;1
02910;2
01820;0
01941;0
22501;1
00610;0
00731;1
01940;0
00730;2
21501;1
21500;1
21621;0
20411;1
21620;1
21741;1
20410;2
20531;1
00801;2
21740;2
20530;2
00800;2
00921;2
00920;1
22830;2
22831;1
22710;2
22711;1
21511;1
20301;1
21510;1
21631;1
20300;1
20421;1
00911;0
21630;1
20420;2
20541;1
00910;0
20540;1
22840;2
22841;0
22720;2
22721;0
22600;0
22601;0
21600;0
21721;2
22811;2
20511;2
21720;2
21841;1
20510;2
20631;0
21840;1
20630;0
01911;0
00701;1
01910;1
00700;0
00821;2
00820;0
00941;1
22930;2
00940;0
21601;2
22931;0
22810;0
21611;0
20401;1
22701;2
21610;2
21731;1
20400;1
20521;1
01901;1
21730;1
20520;2
20641;2
01900;0
20640;0
00811;1
00931;2
00810;0
22940;2
00930;2
22941;0
22820;0
22821;2
22700;0
11340;2
10130;2
01411;2
02500;0
02621;1
00321;0
01531;2
01410;0
02620;0
02741;0
01530;0
02740;0
00441;0
00320;0
00440;0
02501;0
11221;2
11100;1
12310;0
10011;2
11220;1
11341;1
10131;2
10010;0
11101;1
12311;2
11230;2
10020;0
10141;1
10140;1
01400;0
01521;2
02610;0
00310;0
02731;0
01520;0
01641;0
02730;0
00431;2
00311;2
01640;2
00430;0
01401;0
02611;0
11111;0
12321;2
12200;1
11110;2
11231;0
12320;1
10021;2
12201;0
02401;0
22330;1
01311;2
22331;1
02400;0
02521;2
01310;0
01431;2
02520;0
02641;0
00341;0
01430;0
02640;1
00340;0
11320;1
10110;0
10231;0
10230;2
11201;1
11200;1
11321;2
10111;2
10240;1
01301;0
02511;0
22341;1
01300;0
01421;2
02510;0
02631;0
01420;0
01541;0
02630;1
00330;0
01540;0
00331;0
22340;1
11210;1
11331;1
10121;0
10000;0
11330;2
10241;2
10120;2
12301;1
11211;2
12300;1
10001;0
21341;1
21340;1
01730;0
00520;0
02940;1
00641;2
22430;2
00640;2
22310;2
22431;1
22311;1
02701;2
01611;0
02700;2
02821;2
00401;0
01610;0
01731;2
02941;2
02820;2
00400;0
00521;2
10330;2
11300;1
10211;1
10210;1
10331;2
11301;1
22440;2
01840;1
00630;0
22320;2
22441;1
22321;1
01601;2
02811;1
01600;0
01721;2
02810;1
02931;0
00511;2
01720;1
01841;2
00631;0
00510;2
02930;0
10220;1
10341;2
10340;2
11311;1
10101;2
11310;1
10100;0
10221;1
21321;1
21320;1
21441;1
21440;1
01510;0
01631;1
02841;1
02720;0
00421;2
01630;1
00300;0
00420;0
02840;2
00541;0
22530;1
00540;0
22410;2
22531;1
22411;1
00301;0
02601;1
01511;2
02600;0
02721;2
10310;2
10311;1
21331;1
21330;2
01620;0
01741;0
02830;0
00410;0
00531;0
01740;2
22540;1
00530;0
22420;2
22541;1
22421;1
22300;1
22301;1
01501;0
02711;2
01621;0
01500;0
02710;1
00411;0
02831;0
10200;1
10321;1
10320;2
10201;1
12031;0
12030;1
02341;0
02340;0
12040;1
12041;2
20901;0
20900;1
02331;0
02330;0
11041;0
12130;1
11040;1
12011;2
12131;2
12010;0
12020;0
12141;2
12140;1
12021;2
11140;1
11021;0
12110;0
12231;0
11020;0
12230;1
11141;0
02301;0
02300;0
02421;0
01331;2
02420;0
02541;2
01330;0
02540;0
12111;0
11030;2
12240;2
12121;2
12000;0
11031;0
12120;2
12241;2
02411;2
01321;0
02410;0
02531;0
01441;0
01320;0
02530;0
01440;0
12001;0
12330;1
11120;1
11241;2
10031;0
11240;1
10030;1
02321;2
02320;0
02441;0
02440;0
11001;0
12211;2
11000;0
11121;2
12210;2
12331;2
12340;1
10040;2
12341;2
11010;0
11131;0
12220;1
11130;1
10041;0
02311;2
02310;0
02431;0
01341;0
02430;0
01340;0
12101;0
11011;2
12100;2
12221;2
21820;0
22910;1
21941;0
20610;1
20731;0
21940;1
22911;1
20730;1
21701;0
21700;0
21821;0
20611;0
21710;0
21831;0
22800;0
22921;1
20500;1
20621;2
21830;0
22801;1
20620;1
20741;2
20740;2
21711;0
22920;2
20501;1
20830;1
00901;0
00900;2
21801;1
21800;1
21921;1
20711;2
21920;0
20710;2
20831;2
21930;2
20720;2
20841;2
22900;2
20840;1
22901;2
21811;2
20601;0
21810;2
21931;2
20600;2
20721;2
21901;2
21900;2
20811;2
20931;1
20810;1
20930;0
20940;2
21911;0
20701;1
21910;1
20700;2
20821;1
20941;0
20820;0
20911;1
20910;1
20801;1
20921;0
20800;0
20920;0
