Epoca_Training;Score_Partida
1;24,0
2;24,0
3;16,0
4;21,0
5;26,0
6;21,0
7;21,0
8;37,0
9;24,0
10;13,0
11;21,0
12;29,0
13;18,0
14;13,0
15;16,0
16;29,0
17;26,0
18;24,0
19;21,0
20;21,0
21;13,0
22;24,0
23;18,0
24;18,0
25;21,0
26;18,0
27;18,0
28;13,0
29;37,0
30;16,0
31;21,0
32;18,0
33;18,0
34;18,0
35;11,0
36;24,0
37;16,0
38;32,0
39;18,0
40;16,0
41;21,0
42;16,0
43;8,0
44;13,0
45;16,0
46;37,0
47;18,0
48;24,0
49;8,0
50;21,0
51;16,0
52;24,0
53;24,0
54;39,0
55;11,0
56;16,0
57;16,0
58;32,0
59;26,0
60;18,0
61;16,0
62;13,0
63;21,0
64;18,0
65;34,0
66;26,0
67;13,0
68;13,0
69;13,0
70;32,0
71;18,0
72;13,0
73;55,0
74;18,0
75;18,0
76;13,0
77;21,0
78;16,0
79;21,0
80;21,0
81;34,0
82;24,0
83;16,0
84;13,0
85;26,0
86;16,0
87;37,0
88;18,0
89;24,0
90;11,0
91;11,0
92;18,0
93;24,0
94;21,0
95;18,0
96;26,0
97;13,0
98;8,0
99;16,0
100;26,0
101;13,0
102;11,0
103;24,0
104;29,0
105;18,0
106;21,0
107;26,0
108;24,0
109;16,0
110;32,0
111;16,0
112;21,0
113;29,0
114;21,0
115;24,0
116;24,0
117;18,0
118;24,0
119;13,0
120;18,0
121;21,0
122;29,0
123;18,0
124;34,0
125;16,0
126;24,0
127;24,0
128;29,0
129;8,0
130;32,0
131;24,0
132;5,0
133;29,0
134;29,0
135;18,0
136;18,0
137;34,0
138;18,0
139;29,0
140;24,0
141;21,0
142;16,0
143;18,0
144;13,0
145;24,0
146;18,0
147;16,0
148;26,0
149;26,0
150;16,0
151;26,0
152;13,0
153;26,0
154;47,0
155;26,0
156;29,0
157;8,0
158;24,0
159;16,0
160;18,0
161;26,0
162;24,0
163;18,0
164;24,0
165;13,0
166;18,0
167;18,0
168;16,0
169;16,0
170;32,0
171;18,0
172;16,0
173;16,0
174;26,0
175;50,0
176;24,0
177;34,0
178;13,0
179;26,0
180;29,0
181;18,0
182;21,0
183;18,0
184;24,0
185;21,0
186;13,0
187;21,0
188;18,0
189;26,0
190;34,0
191;18,0
192;13,0
193;16,0
194;16,0
195;24,0
196;16,0
197;21,0
198;16,0
199;18,0
200;32,0
201;24,0
202;16,0
203;21,0
204;11,0
205;18,0
206;11,0
207;18,0
208;13,0
209;16,0
210;21,0
211;11,0
212;21,0
213;13,0
214;24,0
215;13,0
216;26,0
217;18,0
218;16,0
219;34,0
220;24,0
221;26,0
222;21,0
223;16,0
224;13,0
225;13,0
226;16,0
227;21,0
228;29,0
229;21,0
230;21,0
231;26,0
232;24,0
233;29,0
234;21,0
235;16,0
236;29,0
237;21,0
238;24,0
239;18,0
240;16,0
241;5,0
242;29,0
243;16,0
244;18,0
245;58,0
246;21,0
247;11,0
248;45,0
249;26,0
250;24,0
251;16,0
252;32,0
253;21,0
254;26,0
255;21,0
256;29,0
257;16,0
258;21,0
259;21,0
260;29,0
261;11,0
262;21,0
263;18,0
264;26,0
265;18,0
266;26,0
267;34,0
268;16,0
269;29,0
270;18,0
271;5,0
272;21,0
273;16,0
274;21,0
275;42,0
276;24,0
277;29,0
278;32,0
279;24,0
280;32,0
281;16,0
282;21,0
283;18,0
284;24,0
285;13,0
286;24,0
287;32,0
288;16,0
289;29,0
290;29,0
291;26,0
292;29,0
293;16,0
294;13,0
295;24,0
296;26,0
297;58,0
298;13,0
299;21,0
300;18,0
301;16,0
302;26,0
303;18,0
304;21,0
305;34,0
306;16,0
307;26,0
308;16,0
309;13,0
310;18,0
311;18,0
312;39,0
313;32,0
314;24,0
315;26,0
316;16,0
317;29,0
318;18,0
319;21,0
320;16,0
321;16,0
322;16,0
323;21,0
324;16,0
325;21,0
326;24,0
327;18,0
328;18,0
329;16,0
330;26,0
331;21,0
332;21,0
333;21,0
334;21,0
335;24,0
336;18,0
337;21,0
338;29,0
339;18,0
340;13,0
341;18,0
342;16,0
343;16,0
344;16,0
345;24,0
346;16,0
347;21,0
348;21,0
349;18,0
350;18,0
351;53,0
352;11,0
353;18,0
354;39,0
355;16,0
356;21,0
357;24,0
358;39,0
359;18,0
360;8,0
361;39,0
362;66,0
363;18,0
364;24,0
365;21,0
366;29,0
367;16,0
368;26,0
369;13,0
370;26,0
371;13,0
372;32,0
373;21,0
374;24,0
375;24,0
376;11,0
377;16,0
378;24,0
379;29,0
380;16,0
381;24,0
382;18,0
383;47,0
384;26,0
385;26,0
386;24,0
387;21,0
388;37,0
389;42,0
390;18,0
391;16,0
392;21,0
393;13,0
394;21,0
395;26,0
396;16,0
397;16,0
398;24,0
399;13,0
400;24,0
401;16,0
402;13,0
403;24,0
404;18,0
405;39,0
406;11,0
407;13,0
408;18,0
409;18,0
410;18,0
411;13,0
412;26,0
413;21,0
414;16,0
415;18,0
416;21,0
417;55,0
418;21,0
419;24,0
420;21,0
421;11,0
422;24,0
423;16,0
424;26,0
425;26,0
426;26,0
427;32,0
428;24,0
429;24,0
430;26,0
431;18,0
432;18,0
433;16,0
434;21,0
435;26,0
436;16,0
437;16,0
438;32,0
439;21,0
440;21,0
441;34,0
442;13,0
443;16,0
444;11,0
445;16,0
446;24,0
447;21,0
448;32,0
449;13,0
450;18,0
451;18,0
452;18,0
453;24,0
454;11,0
455;26,0
456;11,0
457;18,0
458;26,0
459;11,0
460;26,0
461;21,0
462;45,0
463;26,0
464;21,0
465;18,0
466;26,0
467;47,0
468;13,0
469;45,0
470;34,0
471;29,0
472;26,0
473;26,0
474;29,0
475;29,0
476;47,0
477;18,0
478;21,0
479;5,0
480;47,0
481;11,0
482;24,0
483;47,0
484;13,0
485;18,0
486;21,0
487;21,0
488;11,0
489;24,0
490;16,0
491;21,0
492;32,0
493;11,0
494;18,0
495;21,0
496;24,0
497;16,0
498;16,0
499;21,0
500;16,0
501;24,0
502;55,0
503;13,0
504;16,0
505;13,0
506;16,0
507;11,0
508;26,0
509;16,0
510;37,0
511;18,0
512;21,0
513;18,0
514;26,0
515;16,0
516;21,0
517;13,0
518;16,0
519;34,0
520;21,0
521;13,0
522;37,0
523;18,0
524;16,0
525;21,0
526;16,0
527;21,0
528;18,0
529;18,0
530;24,0
531;18,0
532;11,0
533;16,0
